stars,comment
"5.0 out of 5 stars","Build Quality: 5/5The exterior components are crafted of heavy weight stainless steel from the bottom up to the hand crank. Each component feels sturdy and long lasting. The grinder breaks down into three pieces: bottom reservoir (part where grinds fall), upper reservoir (part where you place beans), cap (seals off upper reservoir), and the hand crank.Grind Quality: 5/5Since this grinder utilizes burr technology, the beans will not be heated during the grinding process like they would from a traditional bladed grinder. Additionally, the particle size is uniform as the grinds only fall to the bottom reservoir once they are small enough to fall through the grinding mechanism, ensuring a uniform size on every ground. This is important when brewing to ensure each grind is subjected to the same amount of heat and water during the brew. Inside the grinding mechanism, there is a portion where you turn it clockwise or counterclockwise to adjust the ground size. There are no markings to know what size is being produced so experimenting will be necessary. I'd recommend starting large and then going small - that way you can recycle the larger grounds and continue the process until you've reached an ideal size.Overall: 4.5/5The reservoir size is quite small, so if you're using this for cold brew where a large quantity of grounds are necessary, you may need to repeat the process several times. It holds about 5 rounded tablespoons of coffee beans (about 1/3 cup). Grind time takes about 1-2 minutes to complete if completely full.Overall, this grinder has held up so far, produces consistent grounds, and I'm sure will last for many more cups to come."
"1.0 out of 5 stars","I initially purchased this grinder to make pour-over coffee.  It seemed to work okay, but the grind never felt very even.  When I opened it up to look inside, I saw that conical burr piece was not centered with the exterior grinding component (I don't know the proper terms for these pieces).  Unfortunately, after getting an espresso machine, the uneven grind and the inability to grind fine enough forced me to use a blade grinder after manually grinding the beans. I have been unable to make a quality espresso using this grinder even at the finest setting, before or after disassembling and cleaning the inside.  I will NOT be buying this again and will be looking into a different manual coffee grinder that produces an even grind (which is the point of a burr grinder)."
"3.0 out of 5 stars","So after much research I finally decided to go with this manual grinder over many other electric burr grinders. Mainly because I'm just using it for a Chemex 3 cup and me looking to on average brew 2-3 cups a coffee at a time. The support for this product from the OE was outstanding before I even opened the box.I have used it twice now, it is a high quality product however the ability to dial the coarseness in is difficult at best. There is only one little non-marked or indicated wheel at the bottom with the hopper removed. One direction for coarse one for fine but no way of telling without actually grinding what level it is to either. I find this quite frustrating when trying to dial in the exact right coarseness for pour over coffee.  I need to seek some support from the manufacturer to see if there is something I'm missing but nothing that is outlined in the instructions. I've even started looking again at low end price point electrics to avoid this hassle. Not a bad review overall as once again the support and build quality of this item is great and it does grind very consistently far surpassing my old blade only electric grinder."
"4.0 out of 5 stars","The JavaPresse Manual Coffee Grinder is exactly as described. A well-made, well-designed hand crank Coffee grinder.Who should buy it? Anyone who needs to make good coffee without electricity. Anyone who makes coffee when the rest of the house is sleeping. It's very quiet. Someone who wants excellent home brew coffee but who's budget won't cover an electric burr grinder.If I like it so much why 4 stars instead of 5? It's slow. It takes longer to fine grind for 1 cup of coffee than it takes to heat the water. Grinding enough for a 12 cup coffee maker is a chore.Features I like:Ceramic cone grinding surface makes very uniform sized coffee grounds, which makes very good coffee. Metal parts are precision stainless steel. It is the first grinder I have owned that will grind fine enough to make Turkish coffee. Easy to use and easy to adjust from course to fine grind. Removing the adjustment screw opens the insides for cleaning. It is very quiet. Looks and feels like it will last a long time. It is large enough to make enough grounds for a very stong 12 cups.Limitations: Other than how long it takes to grind, the only limitation I see is that if you also grind spices you are going to need a separate grinder. The main working surfaces are easy to get to and clean but there are some crevasses around the grinding cone that you can't get the coffee powder all out of.Bottom line, I will keep and use this grinder but I am going to spring for an electric burr grinder for everyday use."
"2.0 out of 5 stars","I used this grinder for approx. 5 weeks (14-20g, twice daily) before the plastic right above the burrs was getting ripped. Javapresse customer service was excellent, sending me another grinder AND a refund, however, due to damage, and other design flaws, I can't recommend this grinder. 1 star for grinder, 1 star added for excellent customer service.Pros- Excellent customer service- Cheap- LightCons- inconsistent grind - feels like you're crushing beans rather than slicing them, giving you a wide range of grind sizes, especially if you're trying to grind coarser, say for a french press. This made for very inconsistent brewing. Only an Aeropress recipe with a fine grind size worked okay.- very slow to grind (takes 3-5 minutes for a fine setting)- the handle isn't very comfortable (not a big deal, but for such a long grind time, it would be nice)- basket is too loose (slips as you grind - it never fell completely, but I always had to make sure my hand was covering both parts to ensure that it wouldn't)- not durable (see photo)- grinds get stuck in basket - weird design with a little lip at the bottom, so fine grounds will get stuck, forcing you to smack it a bunch to loosen them up. (see photo)- after disassembling and reassembling to clean, my grind settings weren't the same. Requires re-figuring to dial in the recipe.Replaced it with a Comandante C40, which isn't fair to compare as that's in a completely different class, but all these problems listed above are gone. You do get what you pay for.Speculative note: If I were to travel and wanted to take an Aeropress and this grinder, I would be okay, although a smaller one like the Porlex mini would probably be a better choice. If you want something of a little higher quality yet, but still small and portable, I'd consider the Aergrind knock."
"2.0 out of 5 stars","Imagine bicycling everywhere in first gear. Little resistance but you don't get anywhere fast.Was told that a manual coffee grinder gave you a small workout each morning. No issues with that. However the long, perhaps 6'', lever arm just too long to grind out two cups of coffee's worth of ground coffee. Would probably be writing a positive review if the grinder had a 2'' arm.Don't believe any instructions came with the grinder. Rather I had to go online to find out how to adjust the grind's coarseness.Didn't find any written instructions online for the grinder rather only found a video. Prefer written instructions as written instructions use less bandwidth and are easier to jump around in.No clear indication of when the grind adjustment is going to ''slip'' off the end so the burrs can be cleaned.As a substitute for an electric grinder, this grinder is not an option. However if there is a reason that you need freshly ground coffee, either off grid or traveling, this is a viable option but just not worth it if you can use an electric grinder.I did receive the nice ''we care'' purchase follow up email from Javepresse. However I never received a response from them after sending them a less than neutral review of the grinder.Would like to return it to Amazon but unfortunately have already thrown away the box."
"5.0 out of 5 stars","Recommended item. Works great. Will grind as fine as you need and fine enough for lever espresso machine.  It is comfortable to use as you can grind vertical and horizontal. It works and does a great job and you can't beat the price. And the receptacle that holds the coffee after it is ground fits into the portafilter so you can tap the coffee right into it. How smart! I like it and I have nothing negative to say about the machine. Keep in mind that it ain't an electric machine so you will grind 14 grams of coffee in about 10 minutes or less.I do have something negative to say about the instructions which are a waste of time and so is the website video showing the dude that likes to listen to himself going on on on and wasting time. What needs to be shown clearly is: in what direction do the washers go when putting the machine back together after cleanning. Up or down? Can't be seen clearly in the video or in the instructions that come with the unit. A waste of time trying to figure it out. There is a top washer that needs to be put back correctly either up or down and a bottom washer that also needs to be put back in the correct direction. The information provided is a waste of time. Also, some type of warning needs to be given so that no grinding is attempted in the zero position because seems to me-I don't know-that the burrs can be worn down or damaged. If it doesn't matter, hey, more to power you but I heard crunching in the zero position. It's a great machine but Javapresse should have paid little more money an have gotten better qualified people to provide the instructions and the video on the machine. It ain't rocket science to crank the handle but clear instructions  would be helpful. But other than that, I personally like and recommend this unit."
"1.0 out of 5 stars","First, the good parts: it grinds coffee, and lets you select grind sizes from somewhat coarse to really coarse. It's definitely more consistent than a typical electric blade grinder.The bad: the plastic piece between the adjustment knob and the grinding burr 'slips' on its shaft. This means that you have to very carefully wiggle the handle to get the grinder to continue grinding, or just 'push past' and break the grinder. After about a week, I was stuck on the adjustment i was on, and today... while grinding, it screwed itself completely tight (to the finest grind) and jammed.Also, the outer metal is pretty reactive with kitchen surfaces. I still have marks on my counter where the grinder slipped and left metal behind.Total. Garbage."
"1.0 out of 5 stars","I bought this coffee grinder to replace a plastic Bialetti one that only lasted a year. I was looking for something sturdier than that one, and picked this one for its metal body and good reviews.Unfortunately, this is mostly useless. - The grinds are too coarse at all settings, and not of uniform size. I can't make espresso from this. - It grinds so slowly, takes forever to get enough. - It's tiny. - The bottom container isn't secured to the top and feels flimsy. It spins in my hand when I grind, and I'm worried I'm gonna spill all my hard work.It's looks good however, and is very quiet. Probably because it grinds so poorly.I'm gonna get another plastic one, even though I know it won't last. At least it's good until it breaks. This one, I might use for white pepper. Probably not though, I'll likely just chuck it out. I won't return it, because I don't want anyone else to have to get stuck with this useless trash."
"4.0 out of 5 stars","This hand held burr grinder is very easy to use. If you pick it up, its light and easy to carry, however, it will take a while to grind your coffee.  I love to make pour over coffee since I found out what it was, and I love the consistency of the grind with this little machine.  However, just know that it is a hand held burr grinder, and as such there is no gearing to quickly dispatch your grounds.  This is a slow methodical process of grinding coffee.  If you are going to take this hiking, camping, fishing, hunting, or simply want to go to the beach to make a fantastic cup of joe, this is the right tool for the job, but it will take more than a couple of minutes to grind all the coffee you need for one cup.I do suggest this for coffee aficionados and connoisseurs, this machine is fantastic, the burr grinder is ceramic, not metallic or plastic and as such creates a perfect grind.  Its also very quiet and on cold dark mornings when you are trying to make a cup of coffee before  anyone wakes up, this works perfectly.  Just don't expect to read anything, or participate in much more than conversation.If I were to ask for one thing to be changed, it would be a gear system installed to increase the speed of the burr grinder just 2 times. This machine is very manual, and having a simple 1:2 gear would make this go by so much faster."
"1.0 out of 5 stars","The only real positives to take away form this product seem to be that it's made of fairly strong materials and has a relatively consistent grind size. However, using the actual grinder is more than frustrating. To start, the grinder only holds about enough beans for about one cup of coffee, so prepared to empty and fill numerous times if you plan on grinding more than that. There is no retention feature for the bottom half receptacle, nor is there one for the lever arm you use to grind. As a result, the grinder will fall apart during use if not held in the proper manner. While the grinder has ''settings'' for grind size, they aren't based on anything. Setting the size involves bottoming out the burrs and then backing off from there. There is still no marker for what size you are currently at, if you forgot how many steps you counted or haven't reset the device before using.  Setting the size also feels like you may break the thing, given how difficult it is to set.Avoid this product if possible."
"5.0 out of 5 stars","I wanted to write a two-part review covering both the product as well as the company's customer service.  I'll start with the grinder.  This JavaPresse burr grinder is a nice, sleek little grinder that looks good enough to leave on your counter instead of hiding in the back of a cupboard.  Depending on how strong you like your coffee, you can fill this to the brim with beans and it is just about right for two cups.  That being said, a larger version might be nice in order to grind more coffee with each fill.  So far it seems to produce a pretty consistent grinder unless the burr gets pushed to one side a bit.  I think this is due to some of the internal parts being plastic and having a little give in them.  I haven't noticed it being a huge issue, but it can move around a bit so that one side produces finer grounds while the other produces larger grounds.  I think it's more prevalent when you are trying for a coarse grind.As far as the customer service, JavaPresse is up there with the best of them.  I had an issue with my initial delivery, and since they had proactively sent an email with some tips on the grinder, I reached out about the issue I was having.  Jacque was very friendly and prompt in addressing my issue and getting it resolved.  Definitely recommend giving this company a chance to serve your coffee needs!"
"5.0 out of 5 stars","I replaced a $40 Cuisinart burr grinder that was a mess, it ground grounds, just left a ton of dust & uneven grinds to deal with.  It was barely adequate but cheapish for my one-cup-a-day habit.  Since I didn't want to spend over $100 on a decent electric, I started to look over this one & it does not disappoint!  It grinds PERFECT pour over - so uniform!  No more dust & no more static!  I absolutely love everything about this except I'm 50 & I have arthritis so it is a bit of a struggle to get my sore hands to work through the 3 minutes of hand grinding early in the morning.  But, this is not the fault of the grinder for sure!  It is still worth the efforts & the wait for the quality of brew!  My only complaint is that there is no way to keep the setting so if you change to a different type of brew, you will have to play with it a bit to find the right spot & then be willing to loose it the next time you change.  Right now I have a perfect pour over set but eventually I will want to make french press or espresso & I will have to take the time to adjust it & grind some beans until I find the perfect spot.  It isn't rocket science to adjust it, I just miss my old machine where I put a sticker on the settings I preferred...this one, due to it's size & design, won't allow for such luxuries.  This grinder is just pure function & it does that well!!  & it looks super cute & doesn't take up any space on my counter AND it didn't break the bank!!!Update: I've been using this daily since August.  Earlier this week the grind got way off, grinding way too big for even french press.  So, I kept adjusting it & it would unscrew & grind big again about halfway through.  I finally decided to watch the video of how to clean & did so & discovered the little washer at the top of the shaft was broken.  I contacted Javapresse & they got back to me within 2 days & said they would send out replacement washers & a spring.  So, for now, I will keep this as a 5 star rating, I love love love this grinder!!"
"4.0 out of 5 stars","I've not found a better one out there.  But - like anything - it does have parts that wear.  I've had this one for close to a year now, and have used it every day.  About a month ago, a coffee bean part got wedged, but I was still able to turn it.  I actually didn't know there was a bean stuck in there - but I did notice the ceramic cylinder had gotten just a tiny bit cockeyed.  After being taken apart COMPLETELY, it was found that the pressure from the bean had loosened the black liner from the stainless steel.  Because of this, when the crank was turned - the beans spun around with it.  So ... we took it apart again, and applied a food grade silicon sealant to reattach it to the stainless.  Used it again this morning - and it's as good as new.  I really do like this grinder, so we'll do what we can to keep it going strong."
"5.0 out of 5 stars","I make incense, and I bought this to grind the things that take too much time and effort to grind with a mortar and pestle.  IT'S AMAZING. Turns easily, adjusts easily, cleans easily, and gives me a really consistent grind all the way down to the finest powder. We don't use bladed electric grinders because they heat the ingredients enough that they release too much of their fragrance constituents. This kind of assisted hand grinding produces the best result for things that depend on keeping all their lovely aromas intact.  I imagine this is just as important in a cup of coffee as it is in a jar of incense.  I'm buying a second one for coffee.  Should be a real flavor revelation!"
"3.0 out of 5 stars","The material quality is just fine but there are three  things I am not happy about: 1- the clear plastic that will definitely not as clean and transparent when aged; 2- the connection between the upper and lower part are getting a bit lose only after 1 month of use; 3- the grinder gears ( ceramic may be )  are not that well designed, they do not force (that much)  the beans to go down as it turns. This latter results in long grinding process and shaking to get the beans in place. This tend to happen more in a place where humidity is high and coffee beans are not freshly roasted.Compared to other brand that I used for over 4 years ( go find out which one is the second best rated here on amazon) this is not an improvement , but it looks like they are good at marketing this design and the brand so I thought I would give it a try. I returned the unit and bought my preferred one. By the way, my old grinder has nothing wrong, I simply don't have it with me now and I need another grinder. I suggest you look around and try different designs; one star reviews could be an indicator of problems but most of the time there would be 5% of negative experiences ( just like mine now) ."
"5.0 out of 5 stars","Spoiler alert- got a dud the first time around, replacement is a great grinder, awesome customer service experienceI am a relative newcomer to being a regular coffee drinker ... used to not drink much coffee, then I had a kid who doesn't sleep well :) I got an aero press for Christmas, then settled on the javapresse grinder to be able to grind whole beans (my husband does not drink coffee so the coffee is just for me, so we don't need a large quantity ground at one time.)I received my grinder quickly, and immediately tried it out. I could not seem to get a fine grind, always seemed coarse. I thought it was just my inexperience, so I kept experimenting over the next couple weeks with the adjustment knob but kept getting similar results, went to the javapresse website and watched all the videos. Then, the black knob on the handle fell off! So, I emailed customer service. They were super responsive (emailed back within a few hours) and immediately said they would send out a full replacement right away. I received the replacement the very next day. Did a test grind and got much better results. Now that I have something to compare, on the original grinder I received, the adjustment knob wasn't ''clicking'' and could never seem to get beyond a coarse grind. I can't comment on the durability etc of the grinder since I haven't had it long, will come back and update if I run into any problems.So, if your grinder doesn't seem to be working like it should, contact customer service!"
"3.0 out of 5 stars","This worked really well for about a year.I used it in average once a day.The last time I used it I heard the sounds of ceramic grinding against ceramic and discovered the plastic that keeps the shaft centered broken into brittle pieces.Strange that an almost all metal construction would use cheap plastic where the most stress is.I don't recommend."
"5.0 out of 5 stars","A few days in and so far so great!I use a mocha pot (actually a Kamira) , and sometimes use a coffee press.  The adjustments on this are superb.  This Kamira prefers a grind between espresso and coffee press, which is harder to find in the story.  Therefore I'm excited to be able to make it myself!One benefit of this grinder is it can do Turkish grind and I'm excited to try that out.Note that It does take a while to grind the coffee, so if you're not interested in a workout this may not be for you.  It takes me one to two minutes to grind a tablespoon of coffee beans.  Since I'm using a small coffee maker that's okay.  For a good old fashion drip coffee machine I don't think this is the right grinder for you unless you want to be grinding beans for a while.."
"5.0 out of 5 stars","I use this with a v60 at the cabin, camp ground, airbnb, and hotel when we don't want to bring along our larger grinder. I even use when we're at home occasionally. It's very compact without sacrificing a decent grind. My only complaint is that the grind adjustment would be difficult to dial in if you need to change it often. It's not a big deal if you're using the same brewing method most of the time. I give it a few clicks in either direction depending on the roast, but if you don't use it for a while it's hard to remember where your baseline is at."
"4.0 out of 5 stars","This is not a $200-$400 coffee grinder. It's not reasonable to expect a perfectly uniform grind from a grinder under $30. It's still much better than a blade grinder as it doesn't turn a quarter of your coffee beans into dust.This unit feels sturdy and grinds quietly. My old blade grinder was louder than a commercial vacuum cleaner. The trick to getting a decent grind out of this device is to run your grounds through TWICE. I thought I wasn't setting it fine enough at first as there were large chunks of bean in my grounds after one pass. After two passes, you get a pretty consistent grind.It doesn't take very long to grind enough beans (just under four tablespoons) for my small french press. Maybe a little bit longer than it takes my electric kettle to heat up the water, which happens rather quickly. I haven't timed it but it's not a bothersome amount of time.If you're looking to grind coffee for large batches, say for drip coffee, you'll have to do several batches to get enough grounds. You're probably still going to want an electric burr grinder for that. Unless you just need the workout."
"2.0 out of 5 stars","I bought this product looking for a gateway into home brewed coffee at an affordable price, willing to trade a few minutes each morning for affordability to do so. Unfortunately my experience so far has been frustrating and the coffee I've brewed disappointing.The instructions are unclear and unhelpful. I've spent a few hours over the past week alone trying to figure out how to configure the grind quality between rereading the instructions multiple times, rewatching the video they link you, and just testing it out by hand, and I still cannot figure out how to properly do this. You're told you do this by  ''turning it all the way to the right and hearing x amount of clicks'', but after turning knobs for too long in either direction, I'm not given any obvious cues to tell me how to adjust it properly. First I grinded them too coarsely, then I somehow was able to adjust it to its finest setting and I can't get out out of it. Being able to adjust this should be obvious!This is on top of the time commitment actually grinding the coffee, which as users have pointed out can take at least 2 minutes but for me has taken closer to 5. It doesn't seem like much, but 2-5 minutes of actively grinding beans is deceptively long and it adds up. Imagine you're planking 2-5 minutes and that's how pleasant the experience is.It pains me to leave this review because this is a small business that seems to genuinely care about its product and customers. I really wanted to start enjoying the home brewing experience, but unfortunately I can't recommend this product to anyone given the frustrating experience I've had with it."
"4.0 out of 5 stars","I can not say anything special about quality. It's not stellar. It's just fine. As for durability - only after using it for a long time I can either recommend or not. But I was totally disappointed overall by the idea of using a manual grinder. When I  make cappuccino I used to go with double-shots. With an electric grinder, it took about 3-4 min to have a cup ready. Multiply by a number of people. The manual grinder adds about 4-5 min per serving. It's funny but it takes me less time to pump up an inflatable paddle board! I get it - sometimes it may work as a meditation. But the most of the times it's less than convenient."
"5.0 out of 5 stars","This little grinder is great for grinding coffee extra fine for Turkish coffee. The only downside is that it is slow work - it takes me close to 10 minutes to grind a few tablespoons of beans for myself. However, I understand that's par for the course with hand grinders, so I don't think that's a flaw on the part of this product specifically. I find things go a bit faster if I first grind the beans in a regular Krups grinder, then run them through this to get them extra fine, though it still takes a few minutes. Recommended for personal use by those who enjoy Turkish coffee but don't want to shell out the money for an expensive fancy grinder, if you don't mind using a little elbow grease. Not a practical option for grinding large quantities of beans for multiple people or servings, though - it would simply take too much time and effort."
"1.0 out of 5 stars","I had very high expectations for this product due to the price and reviews. The fit of the pieces is excessively tight. I have to strain myself to get this thing apart and back together. Started turning the handle clockwise as recommended and the screw holding the crank on just fell out. It's not even reverse threaded, so the crank just falls apart with normal use. Returning this."
"4.0 out of 5 stars","I posted a two start review a while ago and the company reached out to me and sent me a replacement grinder for free.  They were very nice and the grinder was shipped to me very quickly, however I was out of whole bean coffee so I've only just now gotten around to trying it out.The new grinder was much smoother and I was able to feel when to stop since the resistance decreases significantly.  It was much smoother an easier than with the original grinder I got and I was able to grind 25 grams of coffee (my usual amount for my 16oz pour over) in about 90 seconds.  I'm updating my review to four starts for the excellent service and the fact that the grinder does work pretty darn well.  Thanks to the JavaPresse folks and their excellent support!Old Review:Good for the Aeropress and nothing elseIf you want a coffee grinder that's small and portable to use with an Aeropress somewhere where you can't make too much noise, this will work great for you.  Unfortunately, it doesn't really work for anything else.  Even on the coarsest setting the grounds I get from this are too fine for my pour over and I can't even imagine how tedious it would be to use this for finer grinds like espresso."
"5.0 out of 5 stars","Don't usually do reviews and I'm the usual 5 out of 10 reviewer :) I did post this on my Facebook page after 3 days of use:''Well my Mr. Coffee coffee grinder that I have had for 20+ years finally gave it up. So I started to look around for a replacement. A lot of options out there now (not that many 20 years ago). I won't say I'm a ''coffee snob'' but to some, maybe I am. I always grind my own and use my espresso maker for a 4 shot cup. I use Espresso, Italian, French roasts, and change pace with Guatemalan and Sumatra.I saw this one after reading a lot more in-depth articles on grinders. The best you can really get are the conical ceramic burr grinders, not the old blades I have been using. The burr process actually grinds the coffee beans in a consistent size and not heat up the beans like metal blades.So, I thought what the heck, and this one looked like fun and possibly the even size will be easier on my machine.WOW! First cup, I was amazed! Not sure it was just some sort of anticipation or not, so had a second cup, then switched to Sumatra for another cup! Yep, results were all the same. The even size and gentle grinding actually produced more body and flavor and took the bite/edge right off of the espresso roast. Karen (coffee hater) wasn't sure to believe me, but I make an Americano for my grandson Saturday mornings, he even claimed the coffee was a lot smoother!If you start looking for a new grinder, I strongly suggest and know you won't be disappointed using the Ceramic Conical Grinders. Worth the extra bucks!''"
"1.0 out of 5 stars","I wanted to like this hand coffee grinder.  But, the quality is lacking.  I ordered August 26, received August 28.  Tonight (September 28) the item stopped working.  The ceramic burr became stuck and no longer grinds.  I realize the price is low, but 1 month is unacceptable.  I'll be contacting the manufacturer, and depending on the response I may update this review to reflect the customer service experience."
"4.0 out of 5 stars","What I like about the JavaPresse, it looks sleek, simplistic and isn't intimidating to use.  It grinded well, and made great coffee.  Clean up was a relative breeze.  I can see using this on a daily basis... with a few caveats....1) the compartment on the bottom (which catches the ground coffee) needs to be either tighter or lockable via a twist.  The first day I used it, I gripped onto the main body of the grinder and started my process and halfway through the bottom fell out.... all my hard work grinding thus far was on the floor... what a mess...2) the necessity to hold the bottom compartment makes it difficult to hold the main body firmly while grinding.  This was especially true for finer grinds (I was using it for my Aeropress) and noticed that if I didn't hold the body firmly it would just start spinning, but trying to hold both compartments (body and bottom grind compartment) was a strain on my hand and arm.  If there was a silicone grip on the body, it would make it  much easier (that or textured metal) because the shiny smooth steel makes it hard to prevent it from spinning alongside the grinder arm.Other than that, I have been enjoying this fun little grinder and making consistent grinds for my daily coffee.Recommended!"
"5.0 out of 5 stars","[updated 2/10/19] I tested this on some whole roasted beans from Peet's. It was almost an enjoyable experience for me, just standing in the kitchen rotating the crank. Granted I wasn't in a rush, but I could turn out enough grounds for a 13oz French Press fairly quickly. It's a manual grinder, don't expect quick grounds.- - - - - -I'm going to fully review after I've tried the grinder in conjunction with their free month of coffee offer. But......after unboxing, I realized they haven't really addressed how to protect it on the go, given that it's main convenience is its portability (in my opinion). Am I just supposed to throw this in a backpack or briefcase as two pieces? I personally won't lose the handle, but I'm sure others will if they're packed separately. Furthermore, the beautiful stainless steel will become nicked and scratched over time if left to GRIND around with keys, pens, loose change, etc. I almost expected it to come in a drawstring bag...If JavaPresse ends up reading this, you should  design and distribute a cylindrical drawstring bag with an externally-attached sleeve for the handle. Imagine how suave this product would look coming out of a microfiber black bag - from a modern apartment to camping in the wilderness!If anyone has the skill to make one for me, I'll take it as a donation for the idea - ha!"
"4.0 out of 5 stars","I echo the comments of a previous reviewer who noted that grinding proceeds slowly. It takes forever to grind enough beans for 1-1/2 cups of coffee, which is just not something I'm willing to do five or more days per week. I'm not opposed to a little elbow grease, but if it's any indication, my Apple Watch always thinks I've started an Elliptical workout because the grinding goes on for several minutes. On a related note, 1-1\2 cups is about all it can handle at one time (grinding for a French Press).I feel like the unit would be improved it were just a little bit larger. It couldn't be too much larger because one still needs to be able to hold it in one's hand. But if the capacity were a little bit higher and (critically) the mill itself were slightly larger, I would think it could grind more coffee faster. The aforementioned 1-1/2 cups just happens to be enough to fill my thermos, so I'm fortunate that it meets my minimum daily need. However, ideally I would get at least two cups of coffee out of this thing so I don't have to grind beans repeatedly when I have company.I have also noticed that the grind setting (once you find it through trial & error) doesn't remain constant. I was grinding away the other morning and it seemed as though it was taking even longer than normal. When I finally finished, the grind was suddenly much finer than it should have been. It wasn't immediately apparent, but thinking back over the days leading up to this particular morning, I believe it was slowly grinding beans finer and finer. Perhaps the clockwise motion of the mill gradually tightened the wheel. If so, I shutter to think how tedious it must be to use this mill to grind beans fine enough for espresso.Overall it's decently made and for an infrequent user or for people who camp, it's probably worth having. I just don't think it's suitable for every day use by avid coffee drinkers."
"4.0 out of 5 stars","It's a manual grinder with ceramic burrs.  There are many on the market and most will do a great job of producing consistent ground coffee.  Once you have the grind size dialed in, you won't likely have to touch the adjustment unless you change the type of coffee you're using.If you're grinding for espresso... you'll be getting a workout.  As others have noted, espresso grinds for two will likely take 6-7 minutes of elbow grease!  Grinding for an Aeropress for just myself takes about a minute... no big deal.  Sure you could use a drill to speed up the process but I got this to use while on travel, camping and in the mornings when I don't want to wake my wife.My only real complaint is that the grinder is slippery and you have to grip it pretty tight to keep it from spinning in your hand.  Other similar grinders on the market have a silicone sleeve which would likely help.  I added a grip tape, similar to what's used on skateboards or gun grips.  Not super pretty but makes a big difference, especially when grinding for espresso."
"5.0 out of 5 stars","This is easily my favorite Amazon purchase of the last 5 years. I was looking for a no fuss grinder that would allow me to enjoy fresh ground beans with my Aeropress and stumbled across this product. Even though it's not the usual ''name brand'' hand grinder that everyone recommends, I took a chance because I liked the look and construction of this unit. I have been beyond pleased with this grinder as it produces a consistent grind and is easy to adjust. Other reviewers mentioned the amount of time it takes to grind beans and I can confirm that it does take between 90-120s to grind coffee for on serving. However, it turns out that 120s is just about the time it takes for the Bonavita kettle to warm water so it's a great pairing. This is not the right grinder for people wanting to serve more than one cup of coffee at a time (the capacity is just too small). For the price, this is a great hand grinder that perfectly complements my Aeropress coffee ritual."
"5.0 out of 5 stars","I recently found a coffee that I loved,  it the company that was just putting it out only had it in beans.  I could've called and had them grind the beans but decided it's time to take my coffee to the next level and get a bean grinder.  Since it is my first, I wanted something simple and inexpensive in case I didn't like it.This grinder is pretty simple to use.  Put the beans in the top and turn the handle.  Since I have a Keurig and only brew one cup at a time, this was perfect.  Takes about a minute to grind the beans in this grinder and has multiple settings.  The canister for the grounds is perfect to pour into my reusable Keurig filter k-cup.  Multiple settings to change how fine you grind the beans.  If you are looking to grind more than enough beans for 2 cups might be a pain, but I have fallen in love of the process of grinding my beans fresh and then brewing my coffee.  You could probably grind beans for 4 cups maybe a little more but you'll be turning the handle for about a minute per cup.  I've been a coffee drinker for 25 years and when I used this with my newfound beans I love, it was by far the best coffee I have ever had.  This is also perfect for travel and considering taking this and my beans on an Alaskan cruise next month.  The thought of sitting on the deck watching the scenes of Alaska with the perfect cup of coffee is just paradise."
"1.0 out of 5 stars","I have been getting about the same variability in grind as with a simple electric blade grinder, which makes the product worthless to me. There is play in the burr assembly that allows it to become offset as soon as you begin grinding. After looking at the assembly, it's clear to me that there's no way to prevent this (the shaft is metal and the support is plastic). I'm having a hard time figuring out how so many people gave this product a good review, though plenty of people who gave three or four stars still complain of an uneven grind. I'm not going to add a couple stars to my review because the brushed steel looks pretty in my kitchen. Junk is junk."
"5.0 out of 5 stars","In buying a coffee grinder, I opted to go non-electric, as I may eventually move to another country where the voltage differs and US electrical appliances won't work.  Having done this before, I had to leave many items behind that I am now having to replace, having returned to the States.  This grinder, so far, works well, though I am still having to figure out the right coarseness for my French press.  The one downside is that it takes longer than the reviews stated to grind 4 Tablespoons of grounds needed for my morning pot.  Rather than the 2 minutes quoted, I found that it takes twice as long.  Since I am not much of a morning person until I've had some coffee, I have found it works best to grind the next mornings batch the night before.  Not the optimal arrangement, as the sooner the coffee is ground, it seems the fresher the coffee, but it is working for me.This grinder has a 2 year warranty, but then the directions state the burr grinding mechanism may be worn down and require replacement.  I have no idea how much that may cost.  My last electric grinder was going on 8 years old when I had to leave it behind in the States.  I am a bit disappointed to anticipate having to do this within a few years, and I hope that the price is reasonable to replace the burrs.The grinder is very compact and attractively designed.  I have some arthritis in my hands, but using this grinder has not put any undue stress or caused pain in my hands.  The grinder is easy to use; it just takes longer than I anticipated.  Overall, so far, I am satisfied with my purchase.  We'll see how I feel in 2 years, should I have to replace the burrs and find out their cost!"
"5.0 out of 5 stars","While it does take a little more time and effort to use, the results are worth it.  The grounds are consistent on a medium grind at 8-9 clicks, the more coarse the less consistent but that stands to reason.  For 1/3 cup of medium grounds, fill the bean reservoir and grind away.  It takes about 4 minutes to grind.  The crank handle seats well and turning is not difficult.  We bought this to go with theBodum Pour Over Coffee Maker  https://www.amazon.com/gp/product/B00LOCYKIQ/ref=oh_aui_detailpage_o01_s00?ie=UTF8&psc=1using low-acid Tres Hermanos organic coffee  https://www.amazon.com/gp/product/B074FNDMJD/ref=oh_aui_detailpage_o05_s01?ie=UTF8&psc=1.  You will not be disappointed."
